TASKID,CHUNK,ITERATION,METHOD,VALUE
027fe06f22ef7bc413479dbbcaee9eb6,5,1,"SET","304878.03"
027fe06f22ef7bc413479dbbcaee9eb6,5,1,"GET","375939.84"
027fe06f22ef7bc413479dbbcaee9eb6,5,2,"SET","289017.34"
027fe06f22ef7bc413479dbbcaee9eb6,5,2,"GET","344827.59"
027fe06f22ef7bc413479dbbcaee9eb6,5,3,"SET","328947.38"
027fe06f22ef7bc413479dbbcaee9eb6,5,3,"GET","358422.91"
027fe06f22ef7bc413479dbbcaee9eb6,5,4,"SET","327868.84"
027fe06f22ef7bc413479dbbcaee9eb6,5,4,"GET","387596.91"
027fe06f22ef7bc413479dbbcaee9eb6,5,5,"SET","298507.47"
027fe06f22ef7bc413479dbbcaee9eb6,5,5,"GET","359712.22"
038b80c19c8ed4560b9e9756bbfcd62a,5,1,"SET","202429.16"
038b80c19c8ed4560b9e9756bbfcd62a,5,1,"GET","266666.66"
038b80c19c8ed4560b9e9756bbfcd62a,5,2,"SET","199600.80"
038b80c19c8ed4560b9e9756bbfcd62a,5,2,"GET","240963.86"
038b80c19c8ed4560b9e9756bbfcd62a,5,3,"SET","211416.50"
038b80c19c8ed4560b9e9756bbfcd62a,5,3,"GET","252525.25"
038b80c19c8ed4560b9e9756bbfcd62a,5,4,"SET","209643.61"
038b80c19c8ed4560b9e9756bbfcd62a,5,4,"GET","263852.25"
038b80c19c8ed4560b9e9756bbfcd62a,5,5,"SET","213219.61"
038b80c19c8ed4560b9e9756bbfcd62a,5,5,"GET","266666.66"
0487c432c8ebe37fe9c57cec7958dd92,5,1,"SET","211416.50"
0487c432c8ebe37fe9c57cec7958dd92,5,1,"GET","260416.67"
0487c432c8ebe37fe9c57cec7958dd92,5,2,"SET","210970.47"
0487c432c8ebe37fe9c57cec7958dd92,5,2,"GET","243902.44"
0487c432c8ebe37fe9c57cec7958dd92,5,3,"SET","212314.23"
0487c432c8ebe37fe9c57cec7958dd92,5,3,"GET","258397.94"
0487c432c8ebe37fe9c57cec7958dd92,5,4,"SET","214132.77"
0487c432c8ebe37fe9c57cec7958dd92,5,4,"GET","248138.95"
0487c432c8ebe37fe9c57cec7958dd92,5,5,"SET","195312.48"
0487c432c8ebe37fe9c57cec7958dd92,5,5,"GET","256410.27"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,1,"SET","341296.91"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,1,"GET","406504.06"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,2,"SET","306748.47"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,2,"GET","411522.62"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,3,"SET","313479.62"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,3,"GET","378787.88"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,4,"SET","322580.66"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,4,"GET","395256.94"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,5,"SET","346020.75"
055aaedc9dc6a0a5a5d82bbe20082b0f,5,5,"GET","403225.81"
0c41ceca9ef35858191bb429f61adccc,5,1,"SET","223214.28"
0c41ceca9ef35858191bb429f61adccc,5,1,"GET","268096.53"
0c41ceca9ef35858191bb429f61adccc,5,2,"SET","210084.03"
0c41ceca9ef35858191bb429f61adccc,5,2,"GET","234741.78"
0c41ceca9ef35858191bb429f61adccc,5,3,"SET","221238.94"
0c41ceca9ef35858191bb429f61adccc,5,3,"GET","248756.22"
0c41ceca9ef35858191bb429f61adccc,5,4,"SET","220750.55"
0c41ceca9ef35858191bb429f61adccc,5,4,"GET","265957.47"
0c41ceca9ef35858191bb429f61adccc,5,5,"SET","221238.94"
0c41ceca9ef35858191bb429f61adccc,5,5,"GET","237529.69"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,1,"SET","236966.83"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,1,"GET","307692.31"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,2,"SET","248756.22"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,2,"GET","308641.97"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,3,"SET","271739.12"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,3,"GET","320512.81"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,4,"SET","257069.41"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,4,"GET","321543.41"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,5,"SET","256410.27"
0d7fb2de1d3e091e4b5ff432a3b5ecd1,5,5,"GET","320512.81"
0fd7ce2711a51bb6582e63d6f3831b28,5,1,"SET","427350.44"
0fd7ce2711a51bb6582e63d6f3831b28,5,1,"GET","467289.72"
0fd7ce2711a51bb6582e63d6f3831b28,5,2,"SET","427350.44"
0fd7ce2711a51bb6582e63d6f3831b28,5,2,"GET","446428.56"
0fd7ce2711a51bb6582e63d6f3831b28,5,3,"SET","434782.59"
0fd7ce2711a51bb6582e63d6f3831b28,5,3,"GET","469483.56"
0fd7ce2711a51bb6582e63d6f3831b28,5,4,"SET","434782.59"
0fd7ce2711a51bb6582e63d6f3831b28,5,4,"GET","396825.38"
0fd7ce2711a51bb6582e63d6f3831b28,5,5,"SET","425531.91"
0fd7ce2711a51bb6582e63d6f3831b28,5,5,"GET","413223.16"
0fed10b8748ed5c2f652a5b7df917985,5,1,"SET","263852.25"
0fed10b8748ed5c2f652a5b7df917985,5,1,"GET","298507.47"
0fed10b8748ed5c2f652a5b7df917985,5,2,"SET","262467.19"
0fed10b8748ed5c2f652a5b7df917985,5,2,"GET","283286.12"
0fed10b8748ed5c2f652a5b7df917985,5,3,"SET","259740.27"
0fed10b8748ed5c2f652a5b7df917985,5,3,"GET","306748.47"
0fed10b8748ed5c2f652a5b7df917985,5,4,"SET","256410.27"
0fed10b8748ed5c2f652a5b7df917985,5,4,"GET","304878.03"
0fed10b8748ed5c2f652a5b7df917985,5,5,"SET","260416.67"
0fed10b8748ed5c2f652a5b7df917985,5,5,"GET","303030.28"
10fef362f1cecea2e6811375ea2b1316,5,1,"SET","266666.66"
10fef362f1cecea2e6811375ea2b1316,5,1,"GET","312500.00"
10fef362f1cecea2e6811375ea2b1316,5,2,"SET","269541.78"
10fef362f1cecea2e6811375ea2b1316,5,2,"GET","317460.31"
10fef362f1cecea2e6811375ea2b1316,5,3,"SET","263852.25"
10fef362f1cecea2e6811375ea2b1316,5,3,"GET","317460.31"
10fef362f1cecea2e6811375ea2b1316,5,4,"SET","253164.55"
10fef362f1cecea2e6811375ea2b1316,5,4,"GET","299401.22"
10fef362f1cecea2e6811375ea2b1316,5,5,"SET","263852.25"
10fef362f1cecea2e6811375ea2b1316,5,5,"GET","310559.00"
1258ad7ef3f32c89b39ff1bca943a026,5,1,"SET","485436.91"
1258ad7ef3f32c89b39ff1bca943a026,5,1,"GET","555555.56"
1258ad7ef3f32c89b39ff1bca943a026,5,2,"SET","485436.91"
1258ad7ef3f32c89b39ff1bca943a026,5,2,"GET","613496.94"
1258ad7ef3f32c89b39ff1bca943a026,5,3,"SET","452488.69"
1258ad7ef3f32c89b39ff1bca943a026,5,3,"GET","609756.06"
1258ad7ef3f32c89b39ff1bca943a026,5,4,"SET","469483.56"
1258ad7ef3f32c89b39ff1bca943a026,5,4,"GET","606060.56"
1258ad7ef3f32c89b39ff1bca943a026,5,5,"SET","485436.91"
1258ad7ef3f32c89b39ff1bca943a026,5,5,"GET","609756.06"
12e37eb8efaac786ea5c8ac879637c5b,5,1,"SET","336700.34"
12e37eb8efaac786ea5c8ac879637c5b,5,1,"GET","409836.06"
12e37eb8efaac786ea5c8ac879637c5b,5,2,"SET","323624.62"
12e37eb8efaac786ea5c8ac879637c5b,5,2,"GET","398406.41"
12e37eb8efaac786ea5c8ac879637c5b,5,3,"SET","346020.75"
12e37eb8efaac786ea5c8ac879637c5b,5,3,"GET","411522.62"
12e37eb8efaac786ea5c8ac879637c5b,5,4,"SET","322580.66"
12e37eb8efaac786ea5c8ac879637c5b,5,4,"GET","413223.16"
12e37eb8efaac786ea5c8ac879637c5b,5,5,"SET","334448.16"
12e37eb8efaac786ea5c8ac879637c5b,5,5,"GET","409836.06"
1b12e9dc03f51242c5dbb18979f1d5c9,5,1,"SET","319488.81"
1b12e9dc03f51242c5dbb18979f1d5c9,5,1,"GET","333333.31"
1b12e9dc03f51242c5dbb18979f1d5c9,5,2,"SET","318471.31"
1b12e9dc03f51242c5dbb18979f1d5c9,5,2,"GET","335570.47"
1b12e9dc03f51242c5dbb18979f1d5c9,5,3,"SET","319488.81"
1b12e9dc03f51242c5dbb18979f1d5c9,5,3,"GET","371747.22"
1b12e9dc03f51242c5dbb18979f1d5c9,5,4,"SET","312500.00"
1b12e9dc03f51242c5dbb18979f1d5c9,5,4,"GET","371747.22"
1b12e9dc03f51242c5dbb18979f1d5c9,5,5,"SET","309597.50"
1b12e9dc03f51242c5dbb18979f1d5c9,5,5,"GET","369003.69"
1e265fca638f1eddd34ffa623a9205a6,5,1,"SET","386100.38"
1e265fca638f1eddd34ffa623a9205a6,5,1,"GET","458715.59"
1e265fca638f1eddd34ffa623a9205a6,5,2,"SET","384615.41"
1e265fca638f1eddd34ffa623a9205a6,5,2,"GET","485436.91"
1e265fca638f1eddd34ffa623a9205a6,5,3,"SET","381679.41"
1e265fca638f1eddd34ffa623a9205a6,5,3,"GET","485436.91"
1e265fca638f1eddd34ffa623a9205a6,5,4,"SET","384615.41"
1e265fca638f1eddd34ffa623a9205a6,5,4,"GET","460829.50"
1e265fca638f1eddd34ffa623a9205a6,5,5,"SET","383141.75"
1e265fca638f1eddd34ffa623a9205a6,5,5,"GET","485436.91"
1e587ffd73b4ea0432f47f66188bc818,5,1,"SET","374531.84"
1e587ffd73b4ea0432f47f66188bc818,5,1,"GET","456621.00"
1e587ffd73b4ea0432f47f66188bc818,5,2,"SET","367647.03"
1e587ffd73b4ea0432f47f66188bc818,5,2,"GET","446428.56"
1e587ffd73b4ea0432f47f66188bc818,5,3,"SET","377358.50"
1e587ffd73b4ea0432f47f66188bc818,5,3,"GET","473933.66"
1e587ffd73b4ea0432f47f66188bc818,5,4,"SET","375939.84"
1e587ffd73b4ea0432f47f66188bc818,5,4,"GET","473933.66"
1e587ffd73b4ea0432f47f66188bc818,5,5,"SET","358422.91"
1e587ffd73b4ea0432f47f66188bc818,5,5,"GET","471698.12"
209a7f06186f63957741c5cd1a8ba0c3,5,1,"SET","467289.72"
209a7f06186f63957741c5cd1a8ba0c3,5,1,"GET","505050.50"
209a7f06186f63957741c5cd1a8ba0c3,5,2,"SET","425531.91"
209a7f06186f63957741c5cd1a8ba0c3,5,2,"GET","510204.09"
209a7f06186f63957741c5cd1a8ba0c3,5,3,"SET","442477.88"
