dataset,threshold,seed,search_method,method_label,nodes,query_count,query_ratio,first_result_query,first_result_query_ratio,final_answers,exhaustive_answers,answer_validation,validation_note
nginx:REQ,15993.054000,0,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,0,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,0,random,Random-candidate,96,14,0.145833,11.000000,0.114583,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,1,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,1,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,1,random,Random-candidate,96,17,0.177083,16.000000,0.166667,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,2,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,2,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,2,random,Random-candidate,96,11,0.114583,7.000000,0.072917,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,3,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,3,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,3,random,Random-candidate,96,7,0.072917,6.000000,0.062500,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,4,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,4,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,4,random,Random-candidate,96,23,0.239583,21.000000,0.218750,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,5,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,5,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,5,random,Random-candidate,96,11,0.114583,7.000000,0.072917,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,6,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,6,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,6,random,Random-candidate,96,13,0.135417,11.000000,0.114583,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,7,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,7,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,7,random,Random-candidate,96,7,0.072917,4.000000,0.041667,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,8,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,8,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,8,random,Random-candidate,96,17,0.177083,15.000000,0.156250,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,9,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C95|C96,C95|C96,exact,Exhaustive reference baseline.
nginx:REQ,15993.054000,9,balanced,Balanced (Ours),96,3,0.031250,2.000000,0.020833,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,15993.054000,9,random,Random-candidate,96,15,0.156250,12.000000,0.125000,C95|C96,C95|C96,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,0,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,0,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,0,random,Random-candidate,96,14,0.145833,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,1,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,1,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,1,random,Random-candidate,96,19,0.197917,7.000000,0.072917,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,2,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,2,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,2,random,Random-candidate,96,18,0.187500,12.000000,0.125000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,3,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,3,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,3,random,Random-candidate,96,12,0.125000,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,4,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,4,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,4,random,Random-candidate,96,30,0.312500,20.000000,0.208333,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,5,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,5,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,5,random,Random-candidate,96,11,0.114583,1.000000,0.010417,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,6,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,6,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,6,random,Random-candidate,96,14,0.145833,1.000000,0.010417,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,7,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,7,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,7,random,Random-candidate,96,28,0.291667,12.000000,0.125000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,8,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,8,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,8,random,Random-candidate,96,18,0.187500,10.000000,0.104167,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,9,exhaustive,Exhaustive,96,96,1.000000,19.200000,0.200000,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Exhaustive reference baseline.
nginx:REQ,16022.298000,9,balanced,Balanced (Ours),96,8,0.083333,2.000000,0.020833,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,16022.298000,9,random,Random-candidate,96,23,0.239583,17.000000,0.177083,C58|C74|C80|C92|C95,C58|C74|C80|C92|C95,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,0,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,0,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,0,random,Random-candidate,96,17,0.177083,12.000000,0.125000,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,1,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,1,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,1,random,Random-candidate,96,15,0.156250,12.000000,0.125000,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,2,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,2,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,2,random,Random-candidate,96,9,0.093750,5.000000,0.052083,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,3,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,3,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,3,random,Random-candidate,96,25,0.260417,21.000000,0.218750,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,4,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,4,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,4,random,Random-candidate,96,17,0.177083,7.000000,0.072917,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,5,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,5,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,5,random,Random-candidate,96,15,0.156250,7.000000,0.072917,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,6,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,6,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,6,random,Random-candidate,96,23,0.239583,5.000000,0.052083,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,7,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,7,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,7,random,Random-candidate,96,15,0.156250,12.000000,0.125000,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,8,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,8,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,8,random,Random-candidate,96,24,0.250000,6.000000,0.062500,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,9,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C02|C03,C02|C03,exact,Exhaustive reference baseline.
nginx:REQ,50366.246000,9,balanced,Balanced (Ours),96,12,0.125000,4.000000,0.041667,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,50366.246000,9,random,Random-candidate,96,17,0.177083,11.000000,0.114583,C02|C03,C02|C03,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,0,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,0,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,0,random,Random-candidate,96,14,0.145833,13.000000,0.135417,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,1,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,1,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,1,random,Random-candidate,96,15,0.156250,12.000000,0.125000,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,2,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,2,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,2,random,Random-candidate,96,10,0.104167,10.000000,0.104167,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,3,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,3,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,3,random,Random-candidate,96,23,0.239583,22.000000,0.229167,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,4,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,4,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,4,random,Random-candidate,96,13,0.135417,8.000000,0.083333,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,5,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,5,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,5,random,Random-candidate,96,14,0.145833,7.000000,0.072917,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,6,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,6,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,6,random,Random-candidate,96,18,0.187500,12.000000,0.125000,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,7,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,7,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,7,random,Random-candidate,96,15,0.156250,13.000000,0.135417,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,8,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,8,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,8,random,Random-candidate,96,19,0.197917,19.000000,0.197917,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,9,exhaustive,Exhaustive,96,96,1.000000,96.000000,1.000000,C02,C02,exact,Exhaustive reference baseline.
nginx:REQ,62760.272000,9,balanced,Balanced (Ours),96,10,0.104167,5.000000,0.052083,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,62760.272000,9,random,Random-candidate,96,17,0.177083,14.000000,0.145833,C02,C02,exact,Search frontier exactly matches exhaustive frontier.
