search_method,method_label,dataset,threshold,step,candidate_size_before,centroid,a_count,d_count,queried_value,feasible,pruned_count,candidate_size_after
balanced,Balanced (Ours),nginx:REQ,45000.000000,1,96,C01,1,96,64729.242000,1,1,95
balanced,Balanced (Ours),nginx:REQ,45000.000000,2,95,C95,79,1,16022.298000,0,1,94
balanced,Balanced (Ours),nginx:REQ,45000.000000,3,94,C96,79,1,15993.054000,0,1,93
balanced,Balanced (Ours),nginx:REQ,45000.000000,4,93,C03,1,62,50366.246000,1,1,92
balanced,Balanced (Ours),nginx:REQ,45000.000000,5,92,C06,1,62,44436.370000,0,62,30
balanced,Balanced (Ours),nginx:REQ,45000.000000,6,30,C88,30,1,17210.618000,0,1,29
balanced,Balanced (Ours),nginx:REQ,45000.000000,7,29,C02,1,15,62760.272000,1,1,28
balanced,Balanced (Ours),nginx:REQ,45000.000000,8,28,C07,1,15,40870.768000,0,15,13
balanced,Balanced (Ours),nginx:REQ,45000.000000,9,13,C70,13,1,19938.728000,0,1,12
balanced,Balanced (Ours),nginx:REQ,45000.000000,10,12,C18,1,7,35499.300000,0,7,5
balanced,Balanced (Ours),nginx:REQ,45000.000000,11,5,C33,1,4,28414.766000,0,4,1
balanced,Balanced (Ours),nginx:REQ,45000.000000,12,1,C04,1,1,49578.388000,1,1,0
random,Random-candidate,nginx:REQ,45000.000000,1,96,C50,20,4,23652.054000,0,4,92
random,Random-candidate,nginx:REQ,45000.000000,2,92,C55,32,4,23388.542000,0,4,88
random,Random-candidate,nginx:REQ,45000.000000,3,88,C06,2,56,44436.370000,0,56,32
random,Random-candidate,nginx:REQ,45000.000000,4,32,C42,4,8,25950.128000,0,8,24
random,Random-candidate,nginx:REQ,45000.000000,5,24,C43,16,1,25771.856000,0,1,23
random,Random-candidate,nginx:REQ,45000.000000,6,23,C34,4,4,28284.914000,0,4,19
random,Random-candidate,nginx:REQ,45000.000000,7,19,C31,4,4,29048.964000,0,4,15
random,Random-candidate,nginx:REQ,45000.000000,8,15,C66,4,1,21264.090000,0,1,14
random,Random-candidate,nginx:REQ,45000.000000,9,14,C33,2,2,28414.766000,0,2,12
random,Random-candidate,nginx:REQ,45000.000000,10,12,C07,2,4,40870.768000,0,4,8
random,Random-candidate,nginx:REQ,45000.000000,11,8,C22,8,1,31629.964000,0,1,7
random,Random-candidate,nginx:REQ,45000.000000,12,7,C03,2,3,50366.246000,1,2,5
random,Random-candidate,nginx:REQ,45000.000000,13,5,C21,2,1,32055.014000,0,1,4
