app,method,src,dst,src_perf,dst_perf,gap,required_epsilon_absolute,required_epsilon_relative
redis,GET,C45,C41,195654.710000,209383.396000,13728.686000,13728.686000,0.070168
redis,GET,C39,C37,212216.426000,222902.226000,10685.800000,10685.800000,0.050353
redis,GET,C20,C18,267991.450000,277331.024000,9339.574000,9339.574000,0.034850
redis,GET,C96,C91,116521.014000,125691.902000,9170.888000,9170.888000,0.078706
redis,SET,C70,C69,129889.726000,138850.468000,8960.742000,8960.742000,0.068987
redis,GET,C96,C92,116521.014000,125471.068000,8950.054000,8950.054000,0.076811
redis,SET,C43,C52,155689.350000,162761.728000,7072.378000,7072.378000,0.045426
redis,GET,C79,C73,142334.164000,148899.164000,6565.000000,6565.000000,0.046124
redis,GET,C55,C49,182449.132000,188324.718000,5875.586000,5875.586000,0.032204
redis,GET,C55,C51,182449.132000,187971.254000,5522.122000,5522.122000,0.030267
redis,GET,C45,C42,195654.710000,201084.962000,5430.252000,5430.252000,0.027754
redis,GET,C96,C94,116521.014000,121706.286000,5185.272000,5185.272000,0.044501
redis,SET,C80,C77,123236.624000,127993.112000,4756.488000,4756.488000,0.038596
redis,GET,C80,C74,141346.412000,146001.678000,4655.266000,4655.266000,0.032935
redis,SET,C80,C74,123236.624000,127866.140000,4629.516000,4629.516000,0.037566
redis,GET,C61,C58,174003.436000,178308.252000,4304.816000,4304.816000,0.024740
redis,SET,C88,C93,100936.388000,105020.116000,4083.728000,4083.728000,0.040458
redis,SET,C94,C93,100986.082000,105020.116000,4034.034000,4034.034000,0.039946
redis,SET,C78,C77,124075.252000,127993.112000,3917.860000,3917.860000,0.031576
redis,SET,C70,C66,129889.726000,133765.594000,3875.868000,3875.868000,0.029840
redis,SET,C43,C49,155689.350000,159337.420000,3648.070000,3648.070000,0.023432
redis,GET,C94,C93,121706.286000,125007.950000,3301.664000,3301.664000,0.027128
redis,SET,C94,C95,100986.082000,104027.804000,3041.722000,3041.722000,0.030120
redis,SET,C92,C93,101984.356000,105020.116000,3035.760000,3035.760000,0.029767
redis,GET,C80,C77,141346.412000,144244.430000,2898.018000,2898.018000,0.020503
redis,SET,C91,C95,101164.560000,104027.804000,2863.244000,2863.244000,0.028303
redis,SET,C79,C73,122869.574000,125432.602000,2563.028000,2563.028000,0.020860
redis,SET,C73,C74,125432.602000,127866.140000,2433.538000,2433.538000,0.019401
redis,SET,C55,C49,157005.124000,159337.420000,2332.296000,2332.296000,0.014855
redis,GET,C31,C30,232396.528000,234695.008000,2298.480000,2298.480000,0.009890
redis,GET,C26,C24,242586.198000,244875.424000,2289.226000,2289.226000,0.009437
redis,GET,C84,C81,133203.654000,135430.100000,2226.446000,2226.446000,0.016715
