ConfigID,CompartmentLayout,SFI,REQ_mean,REQ_std
C01,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:N lwip:N uksched:N,64729.242,238.803
C02,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:N lwip:N uksched:Y,62760.272,343.442
C03,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:N lwip:N uksched:N,50366.246,269.834
C04,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:N lwip:N uksched:Y,49578.388,132.876
C05,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:N lwip:N uksched:Y,45679.510,119.953
C06,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:N lwip:N uksched:N,44436.370,77.544
C07,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:N lwip:Y uksched:N,40870.768,81.189
C08,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:N lwip:Y uksched:Y,40415.146,111.919
C09,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:N lwip:N uksched:Y,39535.158,154.436
C10,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:N lwip:N uksched:Y,39410.786,140.991
C11,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:N lwip:N uksched:N,39198.640,111.812
C12,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:N lwip:N uksched:N,38963.836,74.587
C13,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:N lwip:N uksched:N,38914.244,118.971
C14,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:N lwip:N uksched:Y,38521.466,63.656
C15,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:N lwip:Y uksched:N,36652.420,90.028
C16,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:N lwip:Y uksched:Y,36519.772,73.581
C17,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:N lwip:Y uksched:N,35786.488,150.192
C18,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:Y lwip:N uksched:N,35499.300,95.156
C19,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:Y lwip:N uksched:Y,34921.476,83.527
C20,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:N lwip:Y uksched:Y,34380.926,188.349
C21,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:Y lwip:N uksched:N,32055.014,89.076
C22,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:Y lwip:N uksched:Y,31629.964,94.472
C23,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:N lwip:Y uksched:N,31605.088,257.622
C24,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:N lwip:Y uksched:N,31581.276,103.367
C25,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:N lwip:Y uksched:N,31335.286,118.238
C26,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:N lwip:Y uksched:Y,31227.578,158.396
C27,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:N lwip:Y uksched:Y,31012.620,121.974
C28,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:N lwip:Y uksched:Y,30948.302,115.805
C29,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:Y lwip:N uksched:Y,30652.808,162.633
C30,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:N newlib:Y lwip:N uksched:N,30569.426,129.864
C31,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:Y lwip:Y uksched:N,29048.964,60.542
C32,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:N newlib:Y lwip:Y uksched:Y,28893.200,65.651
C33,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:N lwip:N uksched:N,28414.766,47.465
C34,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:N lwip:N uksched:Y,28284.914,53.422
C35,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:Y lwip:N uksched:Y,27826.276,104.587
C36,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:Y lwip:N uksched:Y,27714.508,56.399
C37,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:Y lwip:N uksched:N,27362.932,131.956
C38,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:N newlib:Y lwip:N uksched:N,27290.058,65.858
C39,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:N newlib:Y lwip:N uksched:N,27269.218,252.617
C40,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:N newlib:Y lwip:N uksched:Y,27094.347,48.336
C41,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:N lwip:N uksched:Y,25999.228,102.461
C42,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:N lwip:N uksched:N,25950.128,51.743
C43,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:Y,25771.856,27.839
C44,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:N newlib:Y lwip:Y uksched:N,25764.840,106.956
C45,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:N lwip:N uksched:Y,25720.364,16.819
