node,perf
C01,886732.400000
C02,706307.290000
C03,631457.588000
C04,580066.662000
C05,528625.700000
C06,521004.042000
C07,484540.038000
C08,449256.558000
C09,396582.640000
C10,370681.968000
C11,339700.104000
C12,333817.806000
C13,319083.110000
C14,312228.840000
C15,302507.518000
C16,300662.104000
C17,290740.720000
C18,277331.024000
C19,271591.840000
C20,267991.450000
C21,265641.214000
C22,257732.398000
C23,254384.154000
C24,244875.424000
C25,243915.186000
C26,242586.198000
C27,241045.082000
C28,241036.912000
C29,235854.838000
C30,234695.008000
C31,232396.528000
C32,231544.678000
C33,228113.362000
C34,227380.762000
C35,226730.818000
C36,226024.868000
C37,222902.226000
C38,221248.018000
C39,212216.426000
C40,210010.720000
C41,209383.396000
C42,201084.962000
C43,200644.508000
C44,197106.394000
C45,195654.710000
C46,194521.922000
C47,194352.642000
C48,189365.556000
C49,188324.718000
C50,188296.514000
C51,187971.254000
C52,184483.662000
C53,184434.886000
C54,184163.806000
C55,182449.132000
C56,181319.856000
C57,180318.406000
C58,178308.252000
C59,177242.900000
C60,175530.000000
C61,174003.436000
C62,172093.200000
C63,168802.756000
C64,166961.408000
C65,163026.556000
C66,161033.960000
C67,161007.466000
C68,159631.010000
C69,159242.138000
C70,159182.518000
C71,156402.828000
C72,155808.436000
C73,148899.164000
C74,146001.678000
C75,144615.332000
C76,144295.940000
C77,144244.430000
C78,144007.682000
C79,142334.164000
C80,141346.412000
C81,135430.100000
C82,134579.964000
C83,133964.308000
C84,133203.654000
C85,132998.366000
C86,132842.558000
C87,130370.184000
C88,130039.192000
C89,129905.582000
C90,128350.168000
C91,125691.902000
C92,125471.068000
C93,125007.950000
C94,121706.286000
C95,120538.022000
C96,116521.014000
