node,perf
C01,722701.712000
C02,594657.476000
C03,510898.782000
C04,478950.876000
C05,431851.816000
C06,438982.924000
C07,410598.380000
C08,387018.994000
C09,285966.744000
C10,277169.854000
C11,257878.182000
C12,257467.614000
C13,243321.060000
C14,237203.732000
C15,279336.874000
C16,235294.634000
C17,229580.764000
C18,259462.988000
C19,237148.866000
C20,264132.200000
C21,250959.414000
C22,225730.218000
C23,200739.486000
C24,225414.962000
C25,191950.706000
C26,230526.528000
C27,228835.346000
C28,218529.948000
C29,186522.274000
C30,217432.604000
C31,218776.566000
C32,187339.874000
C33,183621.396000
C34,209730.084000
C35,184033.612000
C36,209019.194000
C37,194783.234000
C38,177936.394000
C39,207021.950000
C40,168668.442000
C41,172311.380000
C42,168894.386000
C43,155689.350000
C44,168862.332000
C45,177313.002000
C46,165728.370000
C47,145969.538000
C48,166446.472000
C49,159337.420000
C50,142736.510000
C51,149905.910000
C52,162761.728000
C53,139827.748000
C54,140163.294000
C55,157005.124000
C56,164312.350000
C57,137106.260000
C58,151573.978000
C59,156869.400000
C60,137175.040000
C61,154655.500000
C62,134235.656000
C63,153432.282000
C64,130039.228000
C65,137175.558000
C66,133765.594000
C67,138449.522000
C68,133478.666000
C69,138850.468000
C70,129889.726000
C71,127782.960000
C72,133793.374000
C73,125432.602000
C74,127866.140000
C75,127610.796000
C76,129127.364000
C77,127993.112000
C78,124075.252000
C79,122869.574000
C80,123236.624000
C81,108730.310000
C82,110316.186000
C83,109856.582000
C84,109346.466000
C85,110546.398000
C86,108146.026000
C87,108816.128000
C88,100936.388000
C89,106012.198000
C90,105131.452000
C91,101164.560000
C92,101984.356000
C93,105020.116000
C94,100986.082000
C95,104027.804000
C96,102297.408000
