src,dst
C01,C02
C01,C03
C01,C04
C01,C09
C01,C15
C01,C23
C02,C05
C02,C07
C02,C11
C02,C20
C02,C29
C03,C05
C03,C06
C03,C10
C03,C19
C03,C25
C04,C06
C04,C07
C04,C12
C04,C22
C04,C32
C05,C08
C05,C13
C05,C26
C05,C35
C06,C08
C06,C14
C06,C28
C06,C33
C07,C08
C07,C16
C07,C31
C07,C38
C08,C17
C08,C36
C08,C40
C09,C10
C09,C11
C09,C12
C09,C45
C09,C47
C10,C13
C10,C14
C10,C41
C10,C50
C11,C13
C11,C16
C11,C42
C11,C54
C12,C14
C12,C16
C12,C44
C12,C53
C13,C17
C13,C48
C13,C57
C14,C17
C14,C56
C14,C60
C15,C19
C15,C20
C15,C22
C15,C45
C15,C67
C16,C17
C16,C55
C16,C62
C17,C61
C17,C64
C18,C24
C18,C30
C18,C46
C18,C69
C19,C26
C19,C28
C19,C41
C19,C65
C20,C18
C20,C21
C20,C26
C20,C31
C20,C42
C20,C70
C21,C27
C21,C39
C21,C43
C21,C66
C22,C28
C22,C31
C22,C44
C22,C68
C23,C25
C23,C29
C23,C32
C23,C47
C23,C67
C24,C34
C24,C59
C24,C76
C25,C33
C25,C35
C25,C50
C25,C65
C26,C24
C26,C27
C26,C36
C26,C48
C26,C71
C27,C37
C27,C52
C27,C75
C28,C36
C28,C56
C28,C72
C29,C35
C29,C38
C29,C54
C29,C70
C30,C34
C30,C51
C30,C78
C31,C30
C31,C36
C31,C39
C31,C55
C31,C79
C32,C33
C32,C38
C32,C53
C32,C68
C33,C40
C33,C60
C33,C72
C34,C58
C34,C77
C35,C40
C35,C57
C35,C71
C36,C34
C36,C37
C36,C61
C36,C80
C37,C63
C37,C74
C38,C40
C38,C62
C38,C79
C39,C37
C39,C49
C39,C73
C40,C64
C40,C80
C41,C48
C41,C56
C41,C81
C42,C43
C42,C46
C42,C48
C42,C55
C42,C83
C43,C49
C43,C52
C43,C87
C44,C55
C44,C56
C44,C82
C45,C41
C45,C42
C45,C44
C45,C84
C46,C51
C46,C59
C46,C85
C47,C50
C47,C53
C47,C54
C47,C84
C48,C52
C48,C59
C48,C61
C48,C89
C49,C63
C49,C92
C50,C57
C50,C60
C50,C81
C51,C58
C51,C91
C52,C63
C52,C88
C53,C60
C53,C62
C53,C82
C54,C57
C54,C62
C54,C83
C55,C49
C55,C51
C55,C61
C55,C96
C56,C61
C56,C86
C57,C64
C57,C89
C58,C95
C59,C58
C59,C90
C60,C64
C60,C86
C61,C58
C61,C63
C61,C94
C62,C64
C62,C96
C63,C93
C64,C94
C65,C71
C65,C72
C65,C81
C66,C73
C66,C75
C66,C87
C67,C65
C67,C68
C67,C70
C67,C84
C68,C72
C68,C79
C68,C82
C69,C76
C69,C78
C69,C85
C70,C66
C70,C69
C70,C71
C70,C79
C70,C83
C71,C75
C71,C76
C71,C80
C71,C89
C72,C80
C72,C86
C73,C74
C73,C92
C74,C93
C75,C74
C75,C88
C76,C77
C76,C90
C77,C95
C78,C77
C78,C91
C79,C73
C79,C78
C79,C80
C79,C96
C80,C74
C80,C77
C80,C94
C81,C86
C81,C89
C82,C86
C82,C96
C83,C85
C83,C87
C83,C89
C83,C96
C84,C81
C84,C82
C84,C83
C85,C90
C85,C91
C86,C94
C87,C88
C87,C92
C88,C93
C89,C88
C89,C90
C89,C94
C90,C95
C91,C95
C92,C93
C94,C93
C94,C95
C96,C91
C96,C92
C96,C94
